date,ticker,value,country,desc
12/31/1981,BPCGCHE Index,99.8015,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1991,BPCGCHE Index,147.4274,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1994,BPCGCHE Index,148.4976,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2005,BPCGCHE Index,149.8121,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1990,BPCGCHE Index,148.6112,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2010,BPCGCHE Index,157.9107,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2006,BPCGCHE Index,153.9167,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1984,BPCGCHE Index,122.167,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1970,BPCGCHE Index,92.9953,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1995,BPCGCHE Index,150.9825,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1980,BPCGCHE Index,98.1736,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1977,BPCGCHE Index,86.9437,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1983,BPCGCHE Index,120.5226,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2000,BPCGCHE Index,145.5976,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1969,BPCGCHE Index,99.5819,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1986,BPCGCHE Index,127.8126,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1996,BPCGCHE Index,149.0638,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1982,BPCGCHE Index,115.541,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1975,BPCGCHE Index,76.9348,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2016,BPCGCHE Index,174.5954,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2002,BPCGCHE Index,141.1053,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1993,BPCGCHE Index,147.0287,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1998,BPCGCHE Index,148.6067,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1976,BPCGCHE Index,82.6766,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2009,BPCGCHE Index,158.8316,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2013,BPCGCHE Index,168.286,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1972,BPCGCHE Index,85.2449,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2015,BPCGCHE Index,170.2816,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2001,BPCGCHE Index,140.561,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1979,BPCGCHE Index,94.5291,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2012,BPCGCHE Index,166.6929,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1997,BPCGCHE Index,150.4587,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2007,BPCGCHE Index,157.0697,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1992,BPCGCHE Index,147.5368,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1971,BPCGCHE Index,88.6766,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1988,BPCGCHE Index,140.9987,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2008,BPCGCHE Index,149.2616,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2004,BPCGCHE Index,146.2334,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1973,BPCGCHE Index,82.9405,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1987,BPCGCHE Index,134.5714,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2014,BPCGCHE Index,169.1651,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2011,BPCGCHE Index,159.965,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1985,BPCGCHE Index,126.6084,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1978,BPCGCHE Index,92.4215,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/2003,BPCGCHE Index,144.5437,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1989,BPCGCHE Index,148.228,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1974,BPCGCHE Index,71.4559,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1999,BPCGCHE Index,155.3339,Switzerland,World Bank Domestic Private Sector Credit to GDP
12/31/1981,FDINNOR Index,1.06,Norway,World Bank FDI Net Inflows % GDP
12/31/1991,FDINNOR Index,-0.33,Norway,World Bank FDI Net Inflows % GDP
12/31/1994,FDINNOR Index,2.15,Norway,World Bank FDI Net Inflows % GDP
12/31/2005,FDINNOR Index,3.26,Norway,World Bank FDI Net Inflows % GDP
12/31/1990,FDINNOR Index,0.84,Norway,World Bank FDI Net Inflows % GDP
12/31/2010,FDINNOR Index,5.05,Norway,World Bank FDI Net Inflows % GDP
12/31/2006,FDINNOR Index,3.44,Norway,World Bank FDI Net Inflows % GDP
12/31/1984,FDINNOR Index,-0.29,Norway,World Bank FDI Net Inflows % GDP
12/31/1970,FDINNOR Index,0.5,Norway,World Bank FDI Net Inflows % GDP
12/31/1995,FDINNOR Index,1.57,Norway,World Bank FDI Net Inflows % GDP
12/31/1980,FDINNOR Index,0.09,Norway,World Bank FDI Net Inflows % GDP
12/31/2013,FDINNOR Index,-0.27,Norway,World Bank FDI Net Inflows % GDP
12/31/1977,FDINNOR Index,1.85,Norway,World Bank FDI Net Inflows % GDP
12/31/1987,FDINNOR Index,0.2,Norway,World Bank FDI Net Inflows % GDP
12/31/1983,FDINNOR Index,0.53,Norway,World Bank FDI Net Inflows % GDP
12/31/2000,FDINNOR Index,4.87,Norway,World Bank FDI Net Inflows % GDP
12/31/1986,FDINNOR Index,1.29,Norway,World Bank FDI Net Inflows % GDP
12/31/1996,FDINNOR Index,1.94,Norway,World Bank FDI Net Inflows % GDP
