Ticker,Country,Desc
WBBGFRAN Index,France,World Bank Budget Balance % of GDP
WBEGFRA Index,France,World Bank Export Good/Service % of GDP
WBIGFRA Index,France,World Bank Import Good/Service % of GDP
WBPIFRA Index,France,World Bank CPI (2010 Base 100)
EHUPFR Index,France,Unemployment Rate (%)
WBNGSGP Index,Singapore,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLSING Index,Singapore,World Bank Total Gross External Debt USD
FDINSGP Index,Singapore,World Bank FDI Net Inflows % GDP
WRGDSING Index,Singapore,World Bank GDP Constant 2010 Prices USD
BPCGSGP Index,Singapore,World Bank Domestic Private Sector Credit to GDP
HELDSGDS Index,Singapore,World Bank Total Short Term Debt
HELDSGLD Index,Singapore,World Bank Total Long Term Debt
FDNOSGP Index,Singapore,World Bank Foreign Direct Investment Net Outflows % of GDP
WBEGSGP Index,Singapore,World Bank Export Good/Service % of GDP
WBIGSGP Index,Singapore,World Bank Import Good/Service % of GDP
WBPISGP Index,Singapore,World Bank CPI (2010 Base 100)
EHUPSG Index,Singapore,Unemployment Rate (%)
WBNGGBR Index,United Kingdom,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLUK Index,United Kingdom,World Bank Total Gross External Debt USD
FDINGBR Index,United Kingdom,World Bank FDI Net Inflows % GDP
WRGDUK Index,United Kingdom,World Bank GDP Constant 2010 Prices USD
BPCGGBR Index,United Kingdom,World Bank Domestic Private Sector Credit to GDP
HELDGBDS Index,United Kingdom,World Bank Total Short Term Debt
HELDGBLD Index,United Kingdom,World Bank Total Long Term Debt
WDBAUK Index,United Kingdom,World Bank Banks' Debt USD
WDBTUK Index,United Kingdom,World Bank Gross External Debt Position
FDNOGBR Index,United Kingdom,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGUK Index,United Kingdom,World Bank Budget Balance % of GDP
WBEGGBR Index,United Kingdom,World Bank Export Good/Service % of GDP
WBIGGBR Index,United Kingdom,World Bank Import Good/Service % of GDP
WBPIGBR Index,United Kingdom,World Bank CPI (2010 Base 100)
EHUPGB Index,United Kingdom,Unemployment Rate (%)
WBNGTHA Index,Thailand,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLTHAI Index,Thailand,World Bank Total Gross External Debt USD
FDINTHA Index,Thailand,World Bank FDI Net Inflows % GDP
WRGDTHAI Index,Thailand,World Bank GDP Constant 2010 Prices USD
BPCGTHA Index,Thailand,World Bank Domestic Private Sector Credit to GDP
HELDTHDS Index,Thailand,World Bank Total Short Term Debt
HELDTHLD Index,Thailand,World Bank Total Long Term Debt
WDBATHAI Index,Thailand,World Bank Banks' Debt USD
WDBTTHAI Index,Thailand,World Bank Gross External Debt Position
FDNOTHA Index,Thailand,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGTHAI Index,Thailand,World Bank Budget Balance % of GDP
WBEGTHA Index,Thailand,World Bank Export Good/Service % of GDP
WBIGTHA Index,Thailand,World Bank Import Good/Service % of GDP
WBPITHA Index,Thailand,World Bank CPI (2010 Base 100)
EHUPTH Index,Thailand,Unemployment Rate (%)
WBNGCHL Index,Chile,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLCHIL Index,Chile,World Bank Total Gross External Debt USD
FDINCHL Index,Chile,World Bank FDI Net Inflows % GDP
WRGDCHIL Index,Chile,World Bank GDP Constant 2010 Prices USD
BPCGCHL Index,Chile,World Bank Domestic Private Sector Credit to GDP
HELDCLDS Index,Chile,World Bank Total Short Term Debt
HELDCLLD Index,Chile,World Bank Total Long Term Debt
WDBACHIL Index,Chile,World Bank Banks' Debt USD
WDBTCHIL Index,Chile,World Bank Gross External Debt Position
FDNOCHL Index,Chile,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGCHIL Index,Chile,World Bank Budget Balance % of GDP
WBEGCHL Index,Chile,World Bank Export Good/Service % of GDP
WBIGCHL Index,Chile,World Bank Import Good/Service % of GDP
WBPICHL Index,Chile,World Bank CPI (2010 Base 100)
EHUPCL Index,Chile,Unemployment Rate (%)
WBNGTUR Index,Turkey,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLTURK Index,Turkey,World Bank Total Gross External Debt USD
FDINTUR Index,Turkey,World Bank FDI Net Inflows % GDP
WRGDTURK Index,Turkey,World Bank GDP Constant 2010 Prices USD
BPCGTUR Index,Turkey,World Bank Domestic Private Sector Credit to GDP
HELDTRDS Index,Turkey,World Bank Total Short Term Debt
HELDTRLD Index,Turkey,World Bank Total Long Term Debt
WDBATURK Index,Turkey,World Bank Banks' Debt USD
WDBTTURK Index,Turkey,World Bank Gross External Debt Position
FDNOTUR Index,Turkey,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGTURK Index,Turkey,World Bank Budget Balance % of GDP
WBEGTUR Index,Turkey,World Bank Export Good/Service % of GDP
WBIGTUR Index,Turkey,World Bank Import Good/Service % of GDP
WBPITUR Index,Turkey,World Bank CPI (2010 Base 100)
EHUPTR Index,Turkey,Unemployment Rate (%)
WBNGZAF Index,South Africa,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLSOUT Index,South Africa,World Bank Total Gross External Debt USD
FDINZAF Index,South Africa,World Bank FDI Net Inflows % GDP
